theme_date,theater_id,theater_name,sector_code,sector_name,thread_codes,thread_names,jpas_tier_code,theme_title,theme_blurb,maturity_grade,coverage_grade
"2026-08-01","T-002","The Thermal Reckoning","D22","Industry Media & Analyst Coverage","D22.4","Industry Analysts","PWR","The Thermal Reckoning: Industry Media & Analyst Coverage","Air is over. The question is what replaces it. Today The Thermal Reckoning turns to the Industry Media & Analyst Coverage sector — tracking Industry Analysts.","Established","Dedicated"
"2026-08-02","T-005","The Inference Economy","D12","Networking & Interconnect","D12.3; D12.2; D12.5","AI Back-End Fabric & Interconnect; Subsea Cable Systems; Optical Transceivers & Co-Packaged Optics","NET","The Inference Economy: Networking & Interconnect","Training built the factories. Inference fills them. Today The Inference Economy turns to the Networking & Interconnect sector — tracking AI Back-End Fabric & Interconnect, Subsea Cable Systems and Optical Transceivers & Co-Packaged Optics.","Established","Dedicated"
"2026-08-03","T-004","The Capital Concentration","D4","M&A & Capital Markets","D4.4; D4.3; D4.2","Integrated Infrastructure Vendor M&A; Sovereign Wealth & Institutional Capital; DC REIT Performance & Valuation","LBR","The Capital Concentration: M&A & Capital Markets","Fewer hands. More capital. Higher stakes. Today The Capital Concentration turns to the M&A & Capital Markets sector — tracking Integrated Infrastructure Vendor M&A, Sovereign Wealth & Institutional Capital and DC REIT Performance & Valuation.","Established","Broad-only"
"2026-08-04","T-003","The Consent Crisis","D14","Real Estate & Site Selection","D14.3; D14.2","Emerging & Second-Tier Markets; Primary Market Intelligence (NA Tier 1)","WTR","The Consent Crisis: Real Estate & Site Selection","Communities are the new permitting authority. Today The Consent Crisis turns to the Real Estate & Site Selection sector — tracking Emerging & Second-Tier Markets and Primary Market Intelligence (NA Tier 1).","Established","Dedicated"
"2026-08-05","T-001","The Power Reckoning","D2","Power Architecture","D2.10; D2.7","Solid-State Transformers & Advanced Power Conversion; Renewables, Storage & PPAs for DC Power","PWR","The Power Reckoning: Power Architecture","The grid wasn't built for this. Today The Power Reckoning turns to the Power Architecture sector — tracking Solid-State Transformers & Advanced Power Conversion and Renewables, Storage & PPAs for DC Power.","Established","Dedicated"
"2026-08-06","T-002","The Thermal Reckoning","D8","People & Signals","D8.2","Conference Intelligence & Speaking Circuit","PWR","The Thermal Reckoning: People & Signals","Air is over. The question is what replaces it. Today The Thermal Reckoning turns to the People & Signals sector — tracking Conference Intelligence & Speaking Circuit.","Established","Whitespace"
"2026-08-07","T-004","The Capital Concentration","D15","Sovereign AI & Geopolitics","D15.6; D15.2; D15.4","Inbound Investment Screening; National Compute Strategies & Sovereign Programs; Strategic Minerals & Upstream Supply","NET","The Capital Concentration: Sovereign AI & Geopolitics","Fewer hands. More capital. Higher stakes. Today The Capital Concentration turns to the Sovereign AI & Geopolitics sector — tracking Inbound Investment Screening, National Compute Strategies & Sovereign Programs and Strategic Minerals & Upstream Supply.","Established","Dedicated"
"2026-08-08","T-006","The Sovereign AI Race","D21","Insurance & Risk Markets","D21.2","Cyber Insurance & Tech E&O","ENV","The Sovereign AI Race: Insurance & Risk Markets","Compute is the new strategic reserve. Today The Sovereign AI Race turns to the Insurance & Risk Markets sector — tracking Cyber Insurance & Tech E&O.","Established","Dedicated"
"2026-08-09","T-001","The Power Reckoning","D10","Construction","D10.4; D10.5; D10.3","Project Delivery & Schedule Intelligence; Construction Cost Curves & Inflation; Modular & Prefabricated Delivery","COM","The Power Reckoning: Construction","The grid wasn't built for this. Today The Power Reckoning turns to the Construction sector — tracking Project Delivery & Schedule Intelligence, Construction Cost Curves & Inflation and Modular & Prefabricated Delivery.","Established","Dedicated"
"2026-08-10","T-005","The Inference Economy","D6","New Entrants","D6.1; D6.3","Neocloud Infrastructure; AI Labs & Model Developers as Infrastructure Buyers","REG","The Inference Economy: New Entrants","Training built the factories. Inference fills them. Today The Inference Economy turns to the New Entrants sector — tracking Neocloud Infrastructure and AI Labs & Model Developers as Infrastructure Buyers.","Established","Broad-only"
"2026-08-11","T-003","The Consent Crisis","D19","Tax, Incentives & Fiscal Policy","D19.4","Tax Incentive Backlash & Clawback","LBR","The Consent Crisis: Tax, Incentives & Fiscal Policy","Communities are the new permitting authority. Today The Consent Crisis turns to the Tax, Incentives & Fiscal Policy sector — tracking Tax Incentive Backlash & Clawback.","Established","Dedicated"
"2026-08-12","T-006","The Sovereign AI Race","D23","Outage Intelligence & Emergency Response","D23.3","Cyber Incidents Targeting DC Infrastructure","REG","The Sovereign AI Race: Outage Intelligence & Emergency Response","Compute is the new strategic reserve. Today The Sovereign AI Race turns to the Outage Intelligence & Emergency Response sector — tracking Cyber Incidents Targeting DC Infrastructure.","Established","Dedicated"
"2026-08-13","T-002","The Thermal Reckoning","D11","Sustainability","D11.3; D11.4","Water Stewardship & Rights; Heat Recovery & Circular DC","INC","The Thermal Reckoning: Sustainability","Air is over. The question is what replaces it. Today The Thermal Reckoning turns to the Sustainability sector — tracking Water Stewardship & Rights and Heat Recovery & Circular DC.","Established","Dedicated"
"2026-08-14","T-004","The Capital Concentration","D5","Hyperscaler Activity","D5.1; D5.3","Big 5 Capex & Campus Announcements; Build-vs-Lease & Colocation Strategy","LBR","The Capital Concentration: Hyperscaler Activity","Fewer hands. More capital. Higher stakes. Today The Capital Concentration turns to the Hyperscaler Activity sector — tracking Big 5 Capex & Campus Announcements and Build-vs-Lease & Colocation Strategy.","Established","Broad-only"
"2026-08-15","T-005","The Inference Economy","D22","Industry Media & Analyst Coverage","D22.1","U.S. Media Coverage","COM","The Inference Economy: Industry Media & Analyst Coverage","Training built the factories. Inference fills them. Today The Inference Economy turns to the Industry Media & Analyst Coverage sector — tracking U.S. Media Coverage.","Established","Dedicated"
"2026-08-16","T-001","The Power Reckoning","D1","Chips & Density","D1.2","Rack & Power Density Progression","PWR","The Power Reckoning: Chips & Density","The grid wasn't built for this. Today The Power Reckoning turns to the Chips & Density sector — tracking Rack & Power Density Progression.","Established","Broad-only"
"2026-08-17","T-003","The Consent Crisis","D3","Grid & Regulatory","D3.3","Utility Rate Cases & PUC Proceedings","PWR","The Consent Crisis: Grid & Regulatory","Communities are the new permitting authority. Today The Consent Crisis turns to the Grid & Regulatory sector — tracking Utility Rate Cases & PUC Proceedings.","Established","Broad-only"
"2026-08-18","T-006","The Sovereign AI Race","D12","Networking & Interconnect","D12.2","Subsea Cable Systems","ENV","The Sovereign AI Race: Networking & Interconnect","Compute is the new strategic reserve. Today The Sovereign AI Race turns to the Networking & Interconnect sector — tracking Subsea Cable Systems.","Established","Dedicated"
"2026-08-19","T-005","The Inference Economy","D4","M&A & Capital Markets","D4.6","GPU-Backed & Neocloud Financing","WTR","The Inference Economy: M&A & Capital Markets","Training built the factories. Inference fills them. Today The Inference Economy turns to the M&A & Capital Markets sector — tracking GPU-Backed & Neocloud Financing.","Established","Whitespace"
"2026-08-20","T-004","The Capital Concentration","D8","People & Signals","D8.1","Executive Movement & C-Suite Intelligence","INC","The Capital Concentration: People & Signals","Fewer hands. More capital. Higher stakes. Today The Capital Concentration turns to the People & Signals sector — tracking Executive Movement & C-Suite Intelligence.","Established","Dedicated"
"2026-08-21","T-002","The Thermal Reckoning","D2","Power Architecture","D2.10; D2.4","Solid-State Transformers & Advanced Power Conversion; DC Power Delivery at the Rack","REG","The Thermal Reckoning: Power Architecture","Air is over. The question is what replaces it. Today The Thermal Reckoning turns to the Power Architecture sector — tracking Solid-State Transformers & Advanced Power Conversion and DC Power Delivery at the Rack.","Established","Dedicated"
"2026-08-22","T-003","The Consent Crisis","D14","Real Estate & Site Selection","D14.3","Emerging & Second-Tier Markets","RSC","The Consent Crisis: Real Estate & Site Selection","Communities are the new permitting authority. Today The Consent Crisis turns to the Real Estate & Site Selection sector — tracking Emerging & Second-Tier Markets.","Established","Dedicated"
"2026-08-23","T-001","The Power Reckoning","D10","Construction","D10.4; D10.3; D10.2","Project Delivery & Schedule Intelligence; Modular & Prefabricated Delivery; GC/EPC Capacity & Stick-Built Execution","WTR","The Power Reckoning: Construction","The grid wasn't built for this. Today The Power Reckoning turns to the Construction sector — tracking Project Delivery & Schedule Intelligence, Modular & Prefabricated Delivery and GC/EPC Capacity & Stick-Built Execution.","Established","Dedicated"
"2026-08-24","T-005","The Inference Economy","D6","New Entrants","D6.1; D6.3","Neocloud Infrastructure; AI Labs & Model Developers as Infrastructure Buyers","PWR","The Inference Economy: New Entrants","Training built the factories. Inference fills them. Today The Inference Economy turns to the New Entrants sector — tracking Neocloud Infrastructure and AI Labs & Model Developers as Infrastructure Buyers.","Established","Broad-only"
"2026-08-25","T-004","The Capital Concentration","D15","Sovereign AI & Geopolitics","D15.2","National Compute Strategies & Sovereign Programs","ENV","The Capital Concentration: Sovereign AI & Geopolitics","Fewer hands. More capital. Higher stakes. Today The Capital Concentration turns to the Sovereign AI & Geopolitics sector — tracking National Compute Strategies & Sovereign Programs.","Established","Dedicated"
"2026-08-26","T-006","The Sovereign AI Race","D23","Outage Intelligence & Emergency Response","D23.3","Cyber Incidents Targeting DC Infrastructure","COM","The Sovereign AI Race: Outage Intelligence & Emergency Response","Compute is the new strategic reserve. Today The Sovereign AI Race turns to the Outage Intelligence & Emergency Response sector — tracking Cyber Incidents Targeting DC Infrastructure.","Established","Dedicated"
"2026-08-27","T-002","The Thermal Reckoning","D11","Sustainability","D11.3; D11.4","Water Stewardship & Rights; Heat Recovery & Circular DC","RSC","The Thermal Reckoning: Sustainability","Air is over. The question is what replaces it. Today The Thermal Reckoning turns to the Sustainability sector — tracking Water Stewardship & Rights and Heat Recovery & Circular DC.","Established","Dedicated"
"2026-08-28","T-001","The Power Reckoning","D5","Hyperscaler Activity","D5.1","Big 5 Capex & Campus Announcements","PWR","The Power Reckoning: Hyperscaler Activity","The grid wasn't built for this. Today The Power Reckoning turns to the Hyperscaler Activity sector — tracking Big 5 Capex & Campus Announcements.","Established","Broad-only"
