"Sub-Domain","Name","Dedicated Crawler","Dedicated Status","Broad Crawlers (Active, parent Domain)","Coverage Verdict","Bridging Action"
"D1.1","GPU Architecture & Roadmap","—","—","AUTO-001, AUTO-036, AUTO-038, AUTO-040, AUTO-041, AUTO-046, AUTO-047","Broad-only","New crawler (NVIDIA roadmap) — Tier 1"
"D1.2","Rack & Power Density Progression","—","—","AUTO-001, AUTO-036, AUTO-038, AUTO-040, AUTO-041, AUTO-046, AUTO-047","Broad-only","New crawler (OCP ORW / kW-per-rack) — Tier 1"
"D1.3","Competing Silicon & Merchant Accelerators","—","—","AUTO-001, AUTO-036, AUTO-038, AUTO-040, AUTO-041, AUTO-046, AUTO-047","Broad-only","New crawler (AMD/Intel/merchant) — Tier 1"
"D1.4","Memory (HBM & Next-Gen)","AUTO-060","Active","AUTO-001, AUTO-036, AUTO-038, AUTO-040, AUTO-041, AUTO-046, AUTO-047","Dedicated-Active","Activated (FAR-200, 2026-06-24)"
"D1.5","Inference-Class Silicon & Economics","AUTO-061","Active","AUTO-001, AUTO-036, AUTO-038, AUTO-040, AUTO-041, AUTO-046, AUTO-047","Dedicated-Active","Activated (FAR-200, 2026-06-24)"
"D1.6","Chip Allocation & Supply Politics","—","—","AUTO-001, AUTO-036, AUTO-038, AUTO-040, AUTO-041, AUTO-046, AUTO-047","Broad-only","New crawler (allocation/secondary mkt) — Tier 1"
"D1.7","Hyperscaler-Class Silicon & Custom Accelerators","AUTO-062","Active","AUTO-001, AUTO-036, AUTO-038, AUTO-040, AUTO-041, AUTO-046, AUTO-047","Dedicated-Active","Activated (FAR-200, 2026-06-24)"
"D1.8","Advanced Packaging & Substrate Capacity","AUTO-063","Active","AUTO-001, AUTO-036, AUTO-038, AUTO-040, AUTO-041, AUTO-046, AUTO-047","Dedicated-Active","Activated (FAR-200, 2026-06-24)"
"D2.1","800V DC Power Distribution","—","—","AUTO-037, AUTO-040, AUTO-041, AUTO-043","Broad-only","New crawler — Tier 1"
"D2.2","BTM Strategy & Cross-Cutting Economics","—","—","AUTO-037, AUTO-040, AUTO-041, AUTO-043","Broad-only","New crawler — Tier 1"
"D2.3","UPS, Storage & Power Conditioning","—","—","AUTO-037, AUTO-040, AUTO-041, AUTO-043","Broad-only","New crawler — Tier 1"
"D2.4","DC Power Delivery at the Rack","—","—","AUTO-037, AUTO-040, AUTO-041, AUTO-043","Broad-only","New crawler — Tier 1"
"D2.5","Nuclear & SMR Offtake","AUTO-064","Active","AUTO-037, AUTO-040, AUTO-041, AUTO-043","Dedicated-Active","Activated (FAR-200, 2026-06-24)"
"D2.6","Behind-the-Fence Gas & Fuel Cells","AUTO-065","Active","AUTO-037, AUTO-040, AUTO-041, AUTO-043","Dedicated-Active","Activated (FAR-200, 2026-06-24)"
"D2.7","Renewables, Storage & PPAs for DC Power","AUTO-066","Active","AUTO-037, AUTO-040, AUTO-041, AUTO-043","Dedicated-Active","Activated (FAR-200, 2026-06-24)"
"D2.8","Grid-Interactive Load & Demand Response","AUTO-067","Active","AUTO-037, AUTO-040, AUTO-041, AUTO-043","Dedicated-Active","Activated (FAR-200, 2026-06-24)"
"D2.9","Microgrid Integration & Islanding","—","—","AUTO-037, AUTO-040, AUTO-041, AUTO-043","Broad-only","New crawler — Tier 1"
"D2.10","Solid-State Transformers & Advanced Power Conversion","AUTO-068","Active","AUTO-037, AUTO-040, AUTO-041, AUTO-043","Dedicated-Active","Activated (FAR-200, 2026-06-24)"
"D3.1","Interconnection Queue & Grid Access","—","—","AUTO-003, AUTO-011, AUTO-012, AUTO-013, AUTO-016, AUTO-017, AUTO-029, AUTO-037","Broad-only","Strong broad (AUTO-003/016); monitor"
