record_id,puzzle_type,puzzle_name,original_go_live,new_go_live,published_from,published_to,is_repeat_content
reccMSn2B4Hbd7gWn,Rackl,"Chips and Racks",2026-06-14,2026-08-01,Published,Published,false
recSO89CmKta1TAyW,Signal Drop,"CURTAILMENT",2026-06-14,2026-08-01,Published,Published,false
recMYYS7kMWaQKtPX,The Stack,"Rank Hyperscalers by 2026 Guided Capex",2026-06-14,2026-08-01,Published,Published,false
recG6wG4Slteio69P,Circuit,"New Entrants True/False Sprint #1",2026-06-14,2026-08-01,Published,Published,false
recK4O1xV3dUy8Rg7,The Brief,"The Interconnection Queue Crisis",2026-06-14,2026-08-01,Published,Published,false
recAdncSR7IizQfFm,Dark Fiber,"Orchestration Terms #1",2026-06-14,2026-08-01,Published,Published,false
recRD2eiRFwjAijjq,Frequency,"Grid & Regulatory Quiz #1",2026-06-14,2026-08-01,Published,Published,false
reclwLBzOxf80suJ0,Rackl,"Follow the Money",2026-06-15,2026-08-02,Published,Published,false
recWle4cFbOsfGIfS,Signal Drop,"TOKENOMICS",2026-06-15,2026-08-02,Published,Published,false
recMULtDblrTT89mP,Circuit,"M&A & Capital Markets True/False Sprint #1",2026-06-15,2026-08-02,Published,Published,false
recIFNEx4M5dEftWe,Dark Fiber,"Networking & Interconnect Terms #1",2026-06-15,2026-08-02,Published,Published,false
recYZtxlkkceBhkrA,Frequency,"Orchestration & Control Plane Quiz #1",2026-06-15,2026-08-02,Published,Published,false
recKzFgs3XSTACIjb,The Brief,"The 800V DC Transition",2026-06-15,2026-08-02,Published,Published,false
recV6ozlxUiUB2hwl,The Stack,"Rank GPU Generations: Hopper → Blackwell → Vera Rubin → Feynman",2026-06-15,2026-08-02,Published,Published,false
reco5GjvSy7z8NLOv,Rackl,"The Cooling Ladder",2026-06-16,2026-08-03,Published,Published,false
reckjWtYQrHw2YrK9,Signal Drop,"DIELECTRIC",2026-06-16,2026-08-03,Published,Published,false
recVMOT0C3CIXZyrg,The Stack,"Rank DC Tiers by Uptime: Tier I → Tier II → Tier III → Tier IV",2026-06-16,2026-08-03,Published,Published,false
recUu8LXbaYMdg9nQ,Circuit,"Grid & Regulatory True/False Sprint #1",2026-06-16,2026-08-03,Published,Published,false
recNIpKy6PbHYKzMm,The Brief,"The Rise of the Neocloud",2026-06-16,2026-08-03,Published,Published,false
recKmpJ5XVq6HDvRq,Dark Fiber,"New Entrants Terms #1",2026-06-16,2026-08-03,Published,Published,false
recaYa5JysLqCo6Gh,Frequency,"Chips & Density Quiz #1",2026-06-16,2026-08-03,Published,Published,false
